Name,Method,File,Student,Question,Result,Time,Index,Gold_Wrong,Total_Answered,Gender,Age,Education,Relationship,Department,Crowdsourcing_Knowledge,Crowdsourcing_Use
Bobby,Expert,/1_1.png:norm,1,1,0,0.0,0,2,105,,,,,,,
Bobby,Expert,/1_2.png:norm,1,2,0,0.0,1,2,105,,,,,,,
Bobby,Expert,/1_3.png:norm,1,3,1,0.0,2,2,105,,,,,,,
Bobby,Expert,/1_4.png:norm,1,4,4,0.0,3,2,105,,,,,,,
Bobby,Expert,/1_5.png:norm,1,5,1,0.0,4,2,105,,,,,,,
Bobby,Expert,/1_6.png:norm,1,6,4,0.0,5,2,105,,,,,,,
Bobby,Expert,/1_7.png:norm,1,7,4,0.0,6,2,105,,,,,,,
Bobby,Expert,/1_8.png:norm,1,8,0,0.0,7,2,105,,,,,,,
Bobby,Expert,/1_9.png:norm,1,9,4,0.0,8,2,105,,,,,,,
Bobby,Expert,/2_1.png:norm,2,1,2,0.0,9,2,105,,,,,,,
Bobby,Expert,/2_2.png:norm,2,2,4,0.0,10,2,105,,,,,,,
Bobby,Expert,/2_3.png:norm,2,3,2,0.0,11,2,105,,,,,,,
Bobby,Expert,/2_4.png:norm,2,4,0,0.0,12,2,105,,,,,,,
Bobby,Expert,/2_5.png:norm,2,5,4,0.0,13,2,105,,,,,,,
Bobby,Expert,/2_6.png:norm,2,6,0,0.0,14,2,105,,,,,,,
Bobby,Expert,/2_7.png:norm,2,7,4,0.0,15,2,105,,,,,,,
Bobby,Expert,/2_8.png:norm,2,8,4,0.0,16,2,105,,,,,,,
Bobby,Expert,/2_9.png:norm,2,9,4,0.0,17,2,105,,,,,,,
Bobby,Expert,/3_1.png:norm,3,1,0,0.0,18,2,105,,,,,,,
Bobby,Expert,/3_2.png:norm,3,2,4,0.0,19,2,105,,,,,,,
Bobby,Expert,/3_3.png:norm,3,3,0,0.0,20,2,105,,,,,,,
Bobby,Expert,/3_4.png:norm,3,4,3,0.0,21,2,105,,,,,,,
Bobby,Expert,/3_5.png:norm,3,5,4,0.0,22,2,105,,,,,,,
Bobby,Expert,/3_6.png:norm,3,6,4,0.0,23,2,105,,,,,,,
Bobby,Expert,/3_7.png:norm,3,7,4,0.0,24,2,105,,,,,,,
Bobby,Expert,/3_8.png:norm,3,8,4,0.0,25,2,105,,,,,,,
Bobby,Expert,/3_9.png:norm,3,9,4,0.0,26,2,105,,,,,,,
Bobby,Expert,/4_1.png:norm,4,1,1,0.0,27,2,105,,,,,,,
Bobby,Expert,/4_2.png:norm,4,2,2,0.0,28,2,105,,,,,,,
Bobby,Expert,/4_3.png:norm,4,3,0,0.0,29,2,105,,,,,,,
Bobby,Expert,/4_4.png:norm,4,4,0,0.0,30,2,105,,,,,,,
Bobby,Expert,/4_5.png:norm,4,5,4,0.0,31,2,105,,,,,,,
Bobby,Expert,/4_6.png:norm,4,6,4,0.0,32,2,105,,,,,,,
Bobby,Expert,/4_7.png:norm,4,7,0,0.0,33,2,105,,,,,,,
Bobby,Expert,/4_8.png:norm,4,8,0,0.0,34,2,105,,,,,,,
Bobby,Expert,/4_9.png:norm,4,9,0,0.0,35,2,105,,,,,,,
Bobby,Expert,4_10.png:norm,4,10,4,0.0,36,2,105,,,,,,,
Bobby,Expert,4_11.png:norm,4,11,0,0.0,37,2,105,,,,,,,
Bobby,Expert,4_12.png:norm,4,12,1,0.0,38,2,105,,,,,,,
Bobby,Expert,4_13.png:norm,4,13,4,0.0,39,2,105,,,,,,,
Bobby,Expert,/5_1.png:norm,5,1,1,0.0,40,2,105,,,,,,,
Bobby,Expert,/5_2.png:norm,5,2,4,0.0,41,2,105,,,,,,,
Bobby,Expert,/5_3.png:norm,5,3,3,0.0,42,2,105,,,,,,,
Bobby,Expert,/5_4.png:norm,5,4,1,0.0,43,2,105,,,,,,,
Bobby,Expert,/5_5.png:norm,5,5,2,0.0,44,2,105,,,,,,,
Bobby,Expert,/5_6.png:norm,5,6,4,0.0,45,2,105,,,,,,,
