Name,Method,File,Student,Question,Result,Time,Index,Gold_Wrong,Total_Answered,Gender,Age,Education,Relationship,Department,Crowdsourcing_Knowledge,Crowdsourcing_Use
Ivan,Expert,/1_1.png:norm,1,1,0,0.0,0,0,105,,,,,,,
Ivan,Expert,/1_2.png:norm,1,2,1,0.0,1,0,105,,,,,,,
Ivan,Expert,/1_3.png:norm,1,3,1,0.0,2,0,105,,,,,,,
Ivan,Expert,/1_4.png:norm,1,4,2,0.0,3,0,105,,,,,,,
Ivan,Expert,/1_5.png:norm,1,5,0,0.0,4,0,105,,,,,,,
Ivan,Expert,/1_6.png:norm,1,6,2,0.0,5,0,105,,,,,,,
Ivan,Expert,/1_7.png:norm,1,7,2,0.0,6,0,105,,,,,,,
Ivan,Expert,/1_8.png:norm,1,8,0,0.0,7,0,105,,,,,,,
Ivan,Expert,/1_9.png:norm,1,9,4,0.0,8,0,105,,,,,,,
Ivan,Expert,/2_1.png:norm,2,1,4,0.0,9,0,105,,,,,,,
Ivan,Expert,/2_2.png:norm,2,2,4,0.0,10,0,105,,,,,,,
Ivan,Expert,/2_3.png:norm,2,3,1,0.0,11,0,105,,,,,,,
Ivan,Expert,/2_4.png:norm,2,4,2,0.0,12,0,105,,,,,,,
Ivan,Expert,/2_5.png:norm,2,5,4,0.0,13,0,105,,,,,,,
Ivan,Expert,/2_6.png:norm,2,6,0,0.0,14,0,105,,,,,,,
Ivan,Expert,/2_7.png:norm,2,7,4,0.0,15,0,105,,,,,,,
Ivan,Expert,/2_8.png:norm,2,8,4,0.0,16,0,105,,,,,,,
Ivan,Expert,/2_9.png:norm,2,9,4,0.0,17,0,105,,,,,,,
Ivan,Expert,/3_1.png:norm,3,1,0,0.0,18,0,105,,,,,,,
Ivan,Expert,/3_2.png:norm,3,2,4,0.0,19,0,105,,,,,,,
Ivan,Expert,/3_3.png:norm,3,3,1,0.0,20,0,105,,,,,,,
Ivan,Expert,/3_4.png:norm,3,4,4,0.0,21,0,105,,,,,,,
Ivan,Expert,/3_5.png:norm,3,5,4,0.0,22,0,105,,,,,,,
Ivan,Expert,/3_6.png:norm,3,6,4,0.0,23,0,105,,,,,,,
Ivan,Expert,/3_7.png:norm,3,7,4,0.0,24,0,105,,,,,,,
Ivan,Expert,/3_8.png:norm,3,8,4,0.0,25,0,105,,,,,,,
Ivan,Expert,/3_9.png:norm,3,9,4,0.0,26,0,105,,,,,,,
Ivan,Expert,/4_1.png:norm,4,1,1,0.0,27,0,105,,,,,,,
Ivan,Expert,/4_2.png:norm,4,2,2,0.0,28,0,105,,,,,,,
Ivan,Expert,/4_3.png:norm,4,3,1,0.0,29,0,105,,,,,,,
Ivan,Expert,/4_4.png:norm,4,4,1,0.0,30,0,105,,,,,,,
Ivan,Expert,/4_5.png:norm,4,5,4,0.0,31,0,105,,,,,,,
Ivan,Expert,/4_6.png:norm,4,6,2,0.0,32,0,105,,,,,,,
