Name,Method,File,Student,Question,Result,Time,Index,Gold_Wrong,Total_Answered,Gender,Age,Education,Relationship,Department,Crowdsourcing_Knowledge,Crowdsourcing_Use
;022322874=0140?,Umati,9_13.png:gold,9,13,4,1301288467.79,0,1,25,Male,0-18,High School,Undergraduate Student,CS,Yes,No
;022322874=0140?,Umati,6_13.png:norm,6,13,4,1301288478.14,1,1,25,Male,0-18,High School,Undergraduate Student,CS,Yes,No
;022322874=0140?,Umati,8_13.png:norm,8,13,4,1301288514.92,2,1,25,Male,0-18,High School,Undergraduate Student,CS,Yes,No
;022322874=0140?,Umati,4_13.png:norm,4,13,0,1301288521.63,3,1,25,Male,0-18,High School,Undergraduate Student,CS,Yes,No
;022322874=0140?,Umati,5_13.png:norm,5,13,4,1301288529.4,4,1,25,Male,0-18,High School,Undergraduate Student,CS,Yes,No
;022322874=0140?,Umati,/9_9.png:gold,9,9,4,1301331466.73,5,1,25,Male,0-18,High School,Undergraduate Student,CS,Yes,No
;022322874=0140?,Umati,/3_9.png:norm,3,9,4,1301331471.65,6,1,25,Male,0-18,High School,Undergraduate Student,CS,Yes,No
;022322874=0140?,Umati,/8_9.png:norm,8,9,0,1301331478.58,7,1,25,Male,0-18,High School,Undergraduate Student,CS,Yes,No
;022322874=0140?,Umati,/2_9.png:norm,2,9,4,1301331496.57,8,1,25,Male,0-18,High School,Undergraduate Student,CS,Yes,No
;022322874=0140?,Umati,/4_9.png:norm,4,9,0,1301331502.59,9,1,25,Male,0-18,High School,Undergraduate Student,CS,Yes,No
;022322874=0140?,Umati,/5_9.png:norm,5,9,0,1301331507.34,10,1,25,Male,0-18,High School,Undergraduate Student,CS,Yes,No
;022322874=0140?,Umati,/6_9.png:norm,6,9,4,1301331509.71,11,1,25,Male,0-18,High School,Undergraduate Student,CS,Yes,No
;022322874=0140?,Umati,/7_9.png:norm,7,9,0,1301331515.22,12,1,25,Male,0-18,High School,Undergraduate Student,CS,Yes,No
;022322874=0140?,Umati,/1_9.png:norm,1,9,4,1301331518.21,13,1,25,Male,0-18,High School,Undergraduate Student,CS,Yes,No
;022322874=0140?,Umati,9_14.png:gold,9,14,6,1301331583.26,14,1,25,Male,0-18,High School,Undergraduate Student,CS,Yes,No
;022322874=0140?,Umati,/9_3.png:gold,9,3,4,1301331607.92,15,1,25,Male,0-18,High School,Undergraduate Student,CS,Yes,No
;022322874=0140?,Umati,/5_3.png:norm,5,3,4,1301331619.58,16,1,25,Male,0-18,High School,Undergraduate Student,CS,Yes,No
;022322874=0140?,Umati,/7_3.png:norm,7,3,0,1301331630.2,17,1,25,Male,0-18,High School,Undergraduate Student,CS,Yes,No
;022322874=0140?,Umati,/2_3.png:norm,2,3,0,1301331634.87,18,1,25,Male,0-18,High School,Undergraduate Student,CS,Yes,No
